Simulation,Winner,Rounds,Vikings Left,Saxons Left,Revived Vikings,Vikings Block Count,Viking Battlecry Count,Saxon Rage Count,Viking Damage Done,Saxon Damage Done,Saxon Healing Done
1,Saxons,13,0,1,2,5,2,0,886.0,531,230
2,Vikings,9,4,0,0,2,4,2,287.5,790,199
3,Vikings,11,2,0,0,3,3,5,359.0,762,234
4,Saxons,9,0,1,0,2,2,2,480.0,630,224
5,Saxons,18,0,1,0,5,2,2,556.0,785,410
6,Vikings,13,2,0,1,5,2,5,443.0,815,248
7,Vikings,14,1,0,0,5,6,6,464.5,950,315
8,Vikings,9,3,0,1,5,2,1,318.5,654,130
9,Saxons,11,0,4,0,3,1,0,641.0,123,285
10,Saxons,11,0,1,1,4,0,3,524.0,720,294
11,Saxons,13,0,1,0,5,1,3,537.0,711,243
12,Saxons,12,0,3,0,2,1,1,543.0,444,297
13,Vikings,15,3,0,1,7,5,1,396.0,926,371
14,Saxons,12,0,3,0,8,2,1,538.0,362,274
15,Vikings,13,4,0,0,2,3,1,170.0,809,278
16,Vikings,12,1,0,2,4,2,5,559.0,876,262
17,Vikings,14,4,0,0,3,2,4,129.5,832,310
18,Saxons,8,0,4,0,2,2,0,575.0,248,174
19,Vikings,10,2,0,1,3,1,1,390.0,715,260
20,Saxons,9,0,1,0,5,4,3,570.5,652,186
21,Vikings,8,3,0,0,2,3,3,325.0,694,92
22,Saxons,12,0,1,1,1,1,2,595.5,774,300
23,Vikings,15,3,0,1,3,4,1,475.0,892,362
24,Vikings,9,3,0,0,2,3,3,322.0,661,161
25,Vikings,9,3,0,0,3,4,2,164.5,615,144
26,Vikings,9,3,0,0,1,1,2,320.0,732,164
27,Saxons,20,0,3,1,4,2,3,523.5,590,464
28,Vikings,16,1,0,1,5,1,4,607.5,928,347
29,Saxons,11,0,2,1,2,2,2,596.0,557,256
30,Vikings,9,2,0,0,2,5,2,404.0,692,127
31,Vikings,15,1,0,3,5,4,4,623.0,839,276
32,Vikings,14,4,0,2,5,4,3,379.0,937,305
33,Saxons,24,0,1,0,9,2,3,476.5,963,524
34,Saxons,13,0,2,1,3,5,2,580.5,560,320
35,Vikings,12,4,0,0,7,5,1,195.0,793,241
36,Saxons,16,0,2,0,5,3,3,464.0,628,263
37,Saxons,10,0,1,0,2,1,0,493.0,555,167
38,Saxons,11,0,1,0,4,4,4,453.5,698,259
39,Saxons,16,0,2,0,5,2,4,438.0,768,374
40,Vikings,17,3,0,2,7,3,4,430.0,1015,438
41,Vikings,10,3,0,0,1,2,1,360.0,699,169
42,Saxons,11,0,3,0,3,2,2,537.5,470,264
43,Vikings,13,3,0,0,2,2,1,277.0,749,274
44,Saxons,12,0,3,0,4,1,1,560.5,470,280
45,Vikings,11,3,0,1,5,2,3,369.0,679,185
46,Vikings,10,3,0,0,2,3,3,244.5,776,217
47,Saxons,10,0,3,0,4,2,1,479.5,464,262
48,Saxons,10,0,1,1,3,1,2,622.5,526,155
49,Vikings,23,2,0,2,5,1,4,485.0,1003,449
50,Vikings,13,3,0,4,5,1,3,642.5,886,332
51,Saxons,13,0,3,2,5,5,2,732.5,469,286
52,Saxons,17,0,3,1,4,1,4,569.0,518,370
53,Vikings,13,2,0,2,3,3,2,491.0,712,260
54,Vikings,12,4,0,1,4,3,2,302.0,713,247
55,Vikings,13,4,0,0,4,1,2,303.0,758,234
56,Vikings,8,2,0,0,2,1,1,349.0,740,154
57,Vikings,10,2,0,0,1,1,1,305.5,698,195
58,Vikings,8,2,0,1,3,1,2,325.0,753,145
59,Vikings,10,3,0,1,3,3,3,450.5,777,183
60,Saxons,12,0,2,1,3,2,0,640.0,655,293
61,Saxons,10,0,3,1,5,2,1,620.0,394,209
62,Vikings,10,3,0,2,2,5,4,435.0,1034,236
63,Saxons,11,0,1,0,3,2,3,488.5,702,273
64,Vikings,11,2,0,0,3,4,2,390.0,680,188
